"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1824786693758890158","Sat Aug 17 12:33:45 +0000 2024","16219","Sesama Raja hrsnya Saling Menghormati. Sultan Kutai Kartanegara Ing Martadipura Aji Muhammad Arifin tidak mendapatkan undangan Upacara HUT Ke-79 RI di Ibu Kota Nusantara (IKN) Nusantara Penajam Paser Utara Kalimantan Timur Sabtu (17/8/2024). https://t.co/RN5hFrnVc8","1824786693758890158","https://pbs.twimg.com/media/GVLx0-SbUAAocya.jpg","","in","Cengkareng, Indonesia","181","338","1826","https://x.com/NenkMonica/status/1824786693758890158","1040306964100669440","NenkMonica"
"1829656283747926206","Fri Aug 30 23:03:46 +0000 2024","12","Presiden Jokowi meneken PP Nomor 29 Tahun 2024 yang salah satunya mengatur soal pemberian insentif berupa pembebasan bea perolehan hak atas tanah dan bangunan (BPHTB) di Ibu Kota Nusantara (IKN) Kalimantan Timur. _ KKN Undip Diponegoro Kaskus Pertalite Jay Idzes Shella Thailand https://t.co/wyBt1S1IHZ","1829656283747926206","https://pbs.twimg.com/media/GWQ-sBvbQAIB962.jpg","","in","East Java, Indonesia","0","4","11","https://x.com/Hansunriko/status/1829656283747926206","1349266626844061696","Hansunriko"
"1828932508840595557","Wed Aug 28 23:07:44 +0000 2024","14","Menteri Pekerjaan Umum dan Perumahan Rakyat yg juga merupakan Plt Kepala Otorita Ibu Kota Nusantara (OIKN) Basuki Hadimuljono memastikan 1.700 aparatur sipil negara (ASN) akan tetap pindah ke IKN per September 2024. Yanti INI BENERAN Peluk Aulia Anies Ritsuki #PanggilanDarurat https://t.co/MQBLMQJ1Fd","1828932508840595557","https://pbs.twimg.com/media/GWGsZ9WasAMjvny.jpg","","in","East Java, Indonesia","1","4","11","https://x.com/Hansunriko/status/1828932508840595557","1349266626844061696","Hansunriko"
"1823660436409184558","Wed Aug 14 09:58:24 +0000 2024","1398","Pembangunan ibu kota baru semakin nyata. Pagi ini saya meresmikan Plaza Seremoni Sumbu Kebangsaan sebuah pencapaian penting dalam pembangunan IKN. Sumbu Kebangsaan adalah ruang terbuka yang melambangkan keharmonisan hubungan antara manusia dengan Tuhan alam dan sesama. https://t.co/o8rZe83q9v","1823660436409184558","https://pbs.twimg.com/media/GU7xf5LaoAACQIr.jpg","","in","Jakarta","32","478","212","https://x.com/jokowi/status/1823660436409184558","366987179","jokowi"
"1828932408659587196","Wed Aug 28 23:07:20 +0000 2024","11","Menhub Budi Karya Sumadi memastikan Bandara Ibu Kota Nusantara (IKN) beroperasi pada September 2024. Hal ini juga bertepatan dengan rencana Presiden Joko Widodo pindah ke IKN. __ Yanti INI BENERAN Peluk Aulia Anies Ritsuki #PanggilanDarurat https://t.co/k8LAkZr6pH","1828932408659587196","https://pbs.twimg.com/media/GWGsU9lWAAA8iQQ.jpg","","in","East Java, Indonesia","2","3","10","https://x.com/Hansunriko/status/1828932408659587196","1349266626844061696","Hansunriko"
"1824653081025605717","Sat Aug 17 03:42:49 +0000 2024","2820","Sebelum puncak peringatan Hari Kemerdekaan ke-79 RI saya mengajak para pimpinan lembaga negara untuk mengunjungi beberapa infrastruktur penting di IKN. Dari Sumbu Kebangsaan simbol keberagaman dan persatuan bangsa hingga Istana Garuda yang baru selesai dibangun. Saya berharap https://t.co/bmblfEqJXc","1824653081025605717","https://pbs.twimg.com/media/GVJ4TfkaEAAcj2F.jpg","","in","Jakarta","239","530","330","https://x.com/jokowi/status/1824653081025605717","366987179","jokowi"
"1824809665773130048","Sat Aug 17 14:05:02 +0000 2024","357","Paskibraka pertama di Ibu Kota Nusantara. Bangga dong.....🇮🇩 . . https://t.co/tbQeJNXs3X","1824809665773130048","https://pbs.twimg.com/ext_tw_video_thumb/1824809594620928001/pu/img/6l78cNmvOY5EzluF.jpg","","in"," Dimana-mana","11","26","65","https://x.com/Leonita_Lestari/status/1824809665773130048","1202108075231989760","Leonita_Lestari"
"1822928974986834188","Mon Aug 12 09:31:50 +0000 2024","236","Pagi ini diajak Pak Bas keliling dan ngopi di salah satu Embung di IKN. Pak Bas juga menjelaskan secara detail proses pembangunan dan manfaatnya baik sebagai tempat cadangan air maupun pengaruhnya terhadap suhu udara di kawasan inti IKN. Nantinya ada banyak jenis tanaman yang https://t.co/vlnzZReFJc","1822928974986834188","https://pbs.twimg.com/media/GUxYPOzbcAAL6Wb.jpg","","in","","3","79","53","https://x.com/AgusYudhoyono/status/1822928974986834188","842986784","AgusYudhoyono"
"1825121775480606955","Sun Aug 18 10:45:15 +0000 2024","318","Pernyataan Abdul Muhaimin Iskandar atau yang dikenal dengan sebutan nama Cak Imin yang 'nyinyir' soal pembangunan Ibu Kota Nusantara (IKN) kini viral lagi di media sosial. Mantan Calon Wakil Presiden tersebut pernah dengan lantang mengatakan jika pembangunan IKN hanyalah https://t.co/DBG1R3BjWD","1825121775480606955","https://pbs.twimg.com/media/GVQikDaaoAA4-Us.jpg","","in","Pulo Gadung, Indonesia","27","206","76","https://x.com/tvOneNews/status/1825121775480606955","55507370","tvOneNews"
"1825405952952312104","Mon Aug 19 05:34:28 +0000 2024","216","Di balik kemegahan perayaan kemerdekaan di (Ibu Kota Nusantara (IKN) tak sedikit warga lokal mempertanyakan ganti rugi lahannya yang digusur. #KoranTempo #tempo #warga #IKN #Nusantara #KalimantanTimur https://t.co/6nCB1nnEZv","1825405952952312104","https://pbs.twimg.com/media/GVUkzmrbgAACj1G.jpg","","in","Indonesia","6","12","173","https://x.com/korantempo/status/1825405952952312104","20963426","korantempo"
